Setup file: gnutella_simpath
group_number K I
10 50 10000
algo_name: simpath10299 8386 5862 5124 4676 516 306 10 525 1426 163 126 1164 2411 2445 1958 3795 2623 1629 2554 2850 
Execution time  = 1117.701528 secs.
k spread
0 25.189303
1 28.039234
2 29.299233
3 29.898276
4 30.452017
5 30.990865
6 31.518762
7 32.022781
8 32.483046
9 32.922823
10 33.360508
11 33.873886
12 34.263689
13 34.693770
14 35.084545
15 35.446169
16 35.802477
17 36.147136
18 36.476777
19 36.768942
20 37.074050
21 37.349004
22 37.624279
23 37.908156
24 38.179801
25 38.454702
26 38.724833
27 38.988320
28 39.249259
29 39.497298
30 39.741906
31 39.979224
32 40.204074
33 40.431038
34 40.649435
35 40.867319
36 41.084954
37 41.303178
38 41.514765
39 41.717456
40 41.919898
41 42.121628
42 42.323266
43 42.529949
44 42.748382
45 42.950406
46 43.152234
47 43.355513
48 43.554181
49 43.746978
50 43.937572
The final spread value (MC calculated) = 38.855500
